Time,GroupID,ItemsFound,Score,TotalTrials,isRobot
NaN,NaN,6,90,48,1
NaN,NaN,4,60,33,1
NaN,NaN,4,60,55,1
NaN,NaN,5,75,67,1
NaN,NaN,5,75,56,1
NaN,NaN,7,105,119,1
NaN,NaN,2,30,18,1
NaN,NaN,5,75,111,1
NaN,NaN,3,45,37,1
NaN,NaN,2,30,35,1
NaN,NaN,4,60,50,1
NaN,NaN,3,45,52,1
NaN,NaN,5,75,85,1
NaN,NaN,2,30,36,1
NaN,NaN,5,75,77,1
NaN,NaN,2,30,19,1
NaN,NaN,5,75,71,1
NaN,NaN,5,75,80,1
NaN,NaN,5,75,101,1
NaN,NaN,4,60,51,1
NaN,NaN,4,60,31,1
NaN,NaN,3,45,47,1
NaN,NaN,6,90,71,1
NaN,NaN,4,60,69,1
NaN,NaN,6,90,64,1
NaN,NaN,4,60,40,1
NaN,NaN,6,90,57,1
NaN,NaN,5,75,50,1
NaN,NaN,4,60,33,1
NaN,NaN,3,45,37,1
NaN,NaN,3,45,30,1
NaN,NaN,7,105,108,1
NaN,NaN,9,135,122,1
NaN,NaN,6,90,94,1
NaN,NaN,5,75,69,1
NaN,NaN,5,75,84,1
NaN,NaN,4,60,34,1
NaN,NaN,8,120,135,1
NaN,NaN,6,90,91,1
NaN,NaN,3,45,20,1
NaN,NaN,5,75,62,1
NaN,NaN,2,30,24,1
NaN,NaN,5,75,77,1
NaN,NaN,6,90,87,1
NaN,NaN,4,60,24,1
NaN,NaN,5,75,72,1
NaN,NaN,3,45,22,1
NaN,NaN,5,75,52,1
NaN,NaN,6,90,80,1
NaN,NaN,5,75,49,1
NaN,NaN,4,60,80,1
NaN,NaN,7,105,73,1
NaN,NaN,7,105,65,1
NaN,NaN,5,75,58,1
NaN,NaN,6,90,92,1
NaN,NaN,5,75,55,1
NaN,NaN,9,135,95,1
NaN,NaN,5,75,65,1
NaN,NaN,3,45,50,1
NaN,NaN,3,45,41,1
NaN,NaN,3,45,26,1
NaN,NaN,2,30,25,1
NaN,NaN,3,45,39,1
NaN,NaN,4,60,42,1
NaN,NaN,4,60,58,1
NaN,NaN,1,15,13,1
NaN,NaN,2,30,44,1
NaN,NaN,6,90,82,1
NaN,NaN,6,90,94,1
NaN,NaN,3,45,25,1
NaN,NaN,7,105,77,1
NaN,NaN,4,60,51,1
NaN,NaN,8,120,123,1
NaN,NaN,4,60,95,1
NaN,NaN,5,75,71,1
NaN,NaN,9,135,128,1
NaN,NaN,3,45,50,1
NaN,NaN,3,45,36,1
NaN,NaN,6,90,124,1
NaN,NaN,4,60,28,1
NaN,NaN,3,45,27,1
NaN,NaN,3,45,49,1
NaN,NaN,4,60,47,1
NaN,NaN,6,90,102,1
NaN,NaN,3,45,34,1
NaN,NaN,4,60,64,1
NaN,NaN,6,90,125,1
NaN,NaN,3,45,26,1
NaN,NaN,4,60,41,1
NaN,NaN,5,75,117,1
NaN,NaN,4,60,51,1
NaN,NaN,4,60,24,1
NaN,NaN,4,60,36,1
NaN,NaN,7,105,90,1
NaN,NaN,5,75,157,1
NaN,NaN,6,90,71,1
NaN,NaN,5,75,70,1
NaN,NaN,7,105,112,1
NaN,NaN,9,135,121,1
NaN,NaN,4,60,64,1
NaN,NaN,5,75,87,1
NaN,NaN,5,75,106,1
NaN,NaN,6,90,49,1
NaN,NaN,6,90,106,1
NaN,NaN,5,75,83,1
NaN,NaN,8,120,118,1
NaN,NaN,5,75,56,1
NaN,NaN,3,45,21,1
NaN,NaN,6,90,98,1
NaN,NaN,5,75,126,1
NaN,NaN,3,45,39,1
NaN,NaN,4,60,37,1
NaN,NaN,3,45,58,1
NaN,NaN,7,105,146,1
NaN,NaN,3,45,60,1
NaN,NaN,7,105,142,1
NaN,NaN,5,75,65,1
NaN,NaN,3,45,29,1
NaN,NaN,4,60,43,1
NaN,NaN,4,60,31,1
NaN,NaN,6,90,96,1
NaN,NaN,5,75,84,1
NaN,NaN,10,470,138,1
NaN,NaN,3,45,35,1
NaN,NaN,6,90,129,1
NaN,NaN,5,75,62,1
NaN,NaN,7,105,103,1
NaN,NaN,6,90,95,1
NaN,NaN,5,75,45,1
NaN,NaN,3,45,45,1
NaN,NaN,3,45,72,1
NaN,NaN,3,45,38,1
NaN,NaN,2,30,23,1
NaN,NaN,1,15,13,1
NaN,NaN,3,45,61,1
NaN,NaN,4,60,45,1
NaN,NaN,4,60,50,1
NaN,NaN,6,90,68,1
NaN,NaN,7,105,49,1
NaN,NaN,9,135,105,1
NaN,NaN,8,120,148,1
NaN,NaN,5,75,80,1
NaN,NaN,8,120,152,1
NaN,NaN,4,60,26,1
NaN,NaN,3,45,72,1
NaN,NaN,6,90,62,1
NaN,NaN,6,90,85,1
NaN,NaN,3,45,23,1
NaN,NaN,5,75,107,1
NaN,NaN,5,75,74,1
NaN,NaN,4,60,34,1
NaN,NaN,6,90,107,1
NaN,NaN,7,155,103,1
NaN,NaN,3,45,26,1
NaN,NaN,4,60,48,1
NaN,NaN,3,45,37,1
NaN,NaN,6,90,116,1
NaN,NaN,5,75,76,1
NaN,NaN,4,60,52,1
NaN,NaN,7,105,113,1
NaN,NaN,6,90,89,1
NaN,NaN,6,90,71,1
NaN,NaN,4,60,44,1
NaN,NaN,6,90,78,1
NaN,NaN,7,105,47,1
NaN,NaN,6,90,82,1
NaN,NaN,6,90,82,1
NaN,NaN,6,90,83,1
NaN,NaN,4,60,35,1
NaN,NaN,5,75,101,1
NaN,NaN,4,60,60,1
NaN,NaN,5,75,72,1
NaN,NaN,0,0,9,1
NaN,NaN,2,30,45,1
NaN,NaN,7,105,151,1
NaN,NaN,7,105,108,1
NaN,NaN,5,75,55,1
NaN,NaN,5,75,55,1
NaN,NaN,5,75,88,1
NaN,NaN,7,105,65,1
NaN,NaN,3,45,41,1
NaN,NaN,4,60,40,1
NaN,NaN,7,105,75,1
NaN,NaN,7,105,110,1
NaN,NaN,5,75,82,1
NaN,NaN,7,105,65,1
NaN,NaN,4,60,31,1
NaN,NaN,5,75,48,1
NaN,NaN,3,45,49,1
NaN,NaN,4,60,101,1
NaN,NaN,6,90,110,1
NaN,NaN,4,60,44,1
NaN,NaN,3,45,59,1
NaN,NaN,3,45,36,1
NaN,NaN,4,60,51,1
NaN,NaN,7,105,131,1
NaN,NaN,2,30,16,1
NaN,NaN,6,90,81,1
NaN,NaN,6,90,73,1
NaN,NaN,6,90,87,1
NaN,NaN,7,105,65,1
NaN,NaN,5,75,37,1
NaN,NaN,5,75,68,1
NaN,NaN,4,60,60,1
NaN,NaN,6,90,62,1
NaN,NaN,6,90,93,1
NaN,NaN,4,60,48,1
NaN,NaN,8,120,164,1
NaN,NaN,6,90,61,1
NaN,NaN,7,105,112,1
NaN,NaN,5,75,63,1
