selfPID,score,total_interactions,interactions_with_humans,interactions_with_bots,items_copied
147748,150,4,1,3,2
195877,135,5,0,5,3
345540,45,0,0,0,0
492259,135,8,0,8,3
547991,90,0,0,0,0
548185,135,5,0,5,3
584906,820,30,1,29,8
641016,45,0,0,0,0
841328,135,14,8,6,12
854235,135,21,10,11,3
892572,105,5,0,5,2
937616,135,10,0,10,8
1012343,45,0,0,0,0
1076591,15,0,0,0,0
1284432,45,2,0,2,0
1405360,45,0,0,0,0
1436684,135,7,6,1,5
1558499,90,4,0,4,3
1580530,45,1,0,1,0
1710501,470,9,0,9,7
1881198,135,7,2,5,6
2288169,45,0,0,0,0
2459533,135,2,0,2,2
2592613,135,7,0,7,6
2631713,45,0,0,0,0
2634160,105,16,2,14,4
2640222,45,0,0,0,0
2703927,105,10,1,9,4
2805899,135,26,7,19,8
2853135,45,0,0,0,0
2917770,120,27,8,19,9
3020111,440,4,0,4,3
3122017,135,4,1,3,4
3186503,135,12,9,3,2
3214784,105,10,7,3,7
3299009,880,10,0,10,6
3324420,0,0,0,0,0
3603677,135,4,0,4,4
3617933,135,13,0,13,2
3748384,45,1,0,1,0
3778870,120,4,0,4,2
3947842,135,6,0,6,5
3956654,1375,8,1,7,7
3989844,550,11,2,9,5
4130108,60,0,0,0,0
4225514,550,10,7,3,8
4594722,820,13,1,12,5
4645407,550,33,1,32,9
4774888,135,24,8,16,12
4791105,75,0,0,0,0
4846993,60,0,0,0,0
4874927,60,0,0,0,0
4954143,835,5,0,5,5
5247448,0,0,0,0,0
5422529,75,1,0,1,0
5425090,0,0,0,0,0
5433601,15,8,4,4,0
5522415,135,15,3,12,5
5589471,45,0,0,0,0
5599594,135,6,1,5,4
5647595,120,6,4,2,3
5672173,45,0,0,0,0
5857449,135,12,0,12,5
5890363,45,0,0,0,0
5952552,425,10,4,6,4
5957239,135,7,0,7,7
6066930,135,28,16,12,9
6181294,835,13,3,10,8
6286847,45,0,0,0,0
6300805,90,0,0,0,0
6343863,150,8,1,7,7
6454832,15,0,0,0,0
6627772,835,13,4,9,10
6773538,105,0,0,0,0
7126896,150,10,1,9,3
7350016,120,13,0,13,4
7479293,245,26,8,18,9
7498648,120,4,0,4,4
7537693,90,30,5,25,4
7571005,15,7,0,7,0
7605021,245,6,0,6,5
7635024,170,0,0,0,0
7636539,135,1,0,1,1
7806723,75,1,0,1,0
7840603,45,1,0,1,0
7935181,45,0,0,0,0
7937620,135,7,3,4,5
7959221,15,0,0,0,0
8082291,135,6,0,6,4
8180431,60,0,0,0,0
8255304,135,20,18,2,6
8296010,135,2,0,2,2
8302749,120,4,0,4,4
8422196,75,0,0,0,0
8453542,105,19,0,19,4
8563283,105,28,14,14,5
8583627,880,5,3,2,5
9209236,45,0,0,0,0
9292578,60,0,0,0,0
9313146,15,0,0,0,0
9333839,75,0,0,0,0
9549754,75,0,0,0,0
9652262,425,0,0,0,0
9884602,45,0,0,0,0
