selfPID,score,total_interactions,interactions_with_humans,interactions_with_bots,items_copied,total_items_found
103855,0,19,19,0,0,0
245695,135,8,6,2,6,9
338006,90,0,0,0,0,6
459309,75,0,0,0,0,5
470332,45,0,0,0,0,3
628129,135,1,0,1,0,9
1004316,30,0,0,0,0,2
1085421,15,0,0,0,0,1
1100770,75,14,0,14,0,5
1167676,105,6,2,4,2,7
1392209,60,0,0,0,0,4
1751595,150,9,5,4,7,10
1793917,105,0,0,0,0,7
1807851,135,0,0,0,0,9
2096226,0,0,0,0,0,0
2247977,135,10,0,10,5,9
2544739,60,4,2,2,2,4
2661654,3815,7,4,3,7,15
2882507,135,14,12,2,10,9
3116322,15,5,3,2,0,1
3506098,3815,32,29,3,17,15
3594140,45,0,0,0,0,3
3620619,0,0,0,0,0,0
3695157,75,0,0,0,0,5
3725970,135,6,5,1,6,9
3788244,45,3,3,0,0,3
3945148,15,27,10,17,0,1
3951581,2020,21,4,17,8,10
4047315,105,4,2,2,2,7
4088509,60,9,8,1,4,4
4164971,45,0,0,0,0,3
4196158,60,6,4,2,0,4
4229225,45,0,0,0,0,3
4243419,60,4,4,0,2,4
4285830,90,8,0,8,1,6
4346331,0,0,0,0,0,0
4350488,880,20,18,2,9,12
4527746,135,16,4,12,8,9
4535097,90,3,0,3,2,6
4565000,135,13,12,1,5,9
4626986,120,6,6,0,5,8
4722424,75,0,0,0,0,5
4753803,135,25,17,8,6,9
4760866,45,0,0,0,0,3
4997011,150,15,9,6,7,10
5063549,120,0,0,0,0,8
5128630,75,1,0,1,1,5
5355090,0,0,0,0,0,0
5383722,0,0,0,0,0,0
5473001,3815,7,5,2,6,15
5548032,15,0,0,0,0,1
5566106,120,0,0,0,0,8
5569704,135,13,9,4,4,9
5659352,135,11,6,5,2,9
5663496,0,0,0,0,0,0
5758119,135,2,0,2,2,9
6033696,60,0,0,0,0,4
6080952,150,0,0,0,0,10
6147211,1335,7,5,2,5,13
6316441,105,1,1,0,1,7
6420138,30,0,0,0,0,2
6635875,30,0,0,0,0,2
6744430,45,0,0,0,0,3
6961396,135,8,5,3,4,9
6980494,135,7,5,2,4,9
7033622,135,13,7,6,6,9
7081885,2020,16,14,2,10,10
7124052,105,0,0,0,0,7
7150603,15,0,0,0,0,1
7297919,135,7,4,3,5,9
7483167,0,0,0,0,0,0
7625359,0,0,0,0,0,0
7725791,45,0,0,0,0,3
7737814,75,2,0,2,2,5
7797038,75,5,5,0,1,5
7820468,45,0,0,0,0,3
7822177,45,0,0,0,0,3
7991091,425,0,0,0,0,7
8072028,15,0,0,0,0,1
8085417,15,6,6,0,0,1
8126305,1335,26,25,1,12,13
8315563,15,0,0,0,0,1
8342428,1335,9,7,2,8,13
8390955,135,10,8,2,6,9
8422908,135,9,1,8,5,9
8460443,45,2,2,0,0,3
8563338,15,16,15,1,1,1
8568642,105,6,2,4,3,7
8592100,2020,2,1,1,1,10
8850007,15,13,8,5,0,1
8972798,45,0,0,0,0,3
9083338,30,3,3,0,0,2
9147239,75,0,0,0,0,5
9162677,15,0,0,0,0,1
9245275,75,1,1,0,0,5
9251000,105,6,0,6,2,7
9353197,15,7,7,0,0,1
9459889,60,0,0,0,0,4
9671516,135,1,0,1,1,9
9825606,135,4,0,4,3,9
9848812,75,2,1,1,2,5
9859562,135,12,3,9,6,9
9934806,60,6,0,6,0,4
9962563,90,24,22,2,3,6
