ParticipantID,GroupID,ItemsFound,Score,TotalTrials,isRobot
1580530,232057,3,45,132,0
1981129,232057,8,120,57,1
2974565,232057,8,120,57,1
5647595,232057,8,120,146,0
8180431,232057,4,60,95,0
8383427,232057,8,120,57,1
323211,304430,12,880,57,1
3299009,304430,12,880,122,0
5422529,304430,5,75,115,0
8583627,304430,12,880,145,0
9435176,304430,12,880,57,1
9655736,304430,12,880,57,1
905675,383673,9,505,57,1
1176376,383673,9,505,57,1
2853135,383673,3,45,102,0
3020111,383673,8,440,76,0
7736696,383673,9,505,57,1
9884602,383673,3,45,133,0
2459533,438725,9,135,107,0
3748384,438725,3,45,51,0
5970196,438725,9,135,57,1
6114425,438725,9,135,57,1
8255304,438725,9,135,72,0
9445532,438725,9,135,57,1
195877,1457032,9,135,113,0
1436684,1457032,9,135,104,0
6454832,1457032,1,15,63,0
6834286,1457032,9,135,57,1
9027180,1457032,9,135,57,1
9916642,1457032,9,135,57,1
547991,1641391,6,90,82,0
1004448,1641391,10,150,57,1
4791105,1641391,5,75,78,0
5814344,1641391,10,150,57,1
6343863,1641391,10,150,48,0
8689838,1641391,10,150,57,1
80960,1702786,9,135,57,1
304555,1702786,9,135,57,1
1133408,1702786,9,135,57,1
5247448,1702786,0,0,55,0
7636539,1702786,9,135,155,0
892572,1751219,7,105,111,0
1012343,1751219,3,45,72,0
4748624,1751219,7,105,57,1
4954742,1751219,7,105,57,1
7415916,1751219,7,105,57,1
9209236,1751219,3,45,44,0
3324420,1918011,0,0,27,0
6448389,1918011,7,105,56,1
6814719,1918011,7,105,56,1
7571005,1918011,1,15,64,0
7842879,1918011,7,105,56,1
8453542,1918011,7,105,66,0
2288169,1924442,3,45,129,0
2989478,1924442,6,90,57,1
5433601,1924442,1,15,121,0
7146042,1924442,6,90,57,1
7347387,1924442,6,90,57,1
7840603,1924442,3,45,105,0
2545254,2136059,9,135,56,1
3969241,2136059,9,135,56,1
4874927,2136059,4,60,92,0
5957239,2136059,9,135,83,0
8791367,2136059,9,135,56,1
548185,2208041,9,135,116,0
841328,2208041,9,135,101,0
1830352,2208041,9,135,57,1
6773538,2208041,7,105,140,0
8049180,2208041,9,135,57,1
9757731,2208041,9,135,57,1
3366197,2497546,8,120,57,1
3827418,2497546,8,120,57,1
5890363,2497546,3,45,109,0
6286847,2497546,3,45,67,0
8302749,2497546,8,120,90,0
9262078,2497546,8,120,57,1
1710501,2741868,10,470,84,0
2730879,2741868,10,470,57,1
3214784,2741868,7,105,88,0
4750493,2741868,10,470,57,1
8623783,2741868,10,470,57,1
9652262,2741868,7,425,153,0
854235,3758674,9,135,127,0
937616,3758674,9,135,83,0
1713995,3758674,9,135,57,1
2718803,3758674,9,135,57,1
2848185,3758674,9,135,57,1
9333839,3758674,5,75,110,0
2634160,4303467,7,105,57,0
2640222,4303467,3,45,84,0
4410414,4303467,7,105,57,1
5805585,4303467,7,105,57,1
8563283,4303467,7,105,72,0
8739757,4303467,7,105,57,1
345540,4620856,3,45,82,0
2232868,4620856,10,850,57,1
2625443,4620856,10,850,57,1
3956654,4620856,11,1375,87,0
4364856,4620856,10,850,57,1
450461,4939186,6,90,57,1
1284432,4939186,3,45,67,0
1558499,4939186,6,90,121,0
1800582,4939186,6,90,57,1
7537693,4939186,6,90,70,0
9409872,4939186,6,90,57,1
564667,5091011,9,135,57,1
3122017,5091011,9,135,117,0
3195826,5091011,9,135,57,1
3947842,5091011,9,135,117,0
7937620,5091011,9,135,115,0
8121215,5091011,9,135,57,1
3262096,5524823,13,245,57,1
3724220,5524823,13,245,57,1
6231314,5524823,13,245,57,1
7479293,5524823,13,245,85,0
7605021,5524823,13,245,158,0
7635024,5524823,8,170,123,0
2805899,5773130,9,135,107,0
3617933,5773130,9,135,57,0
5101741,5773130,9,135,57,1
5647628,5773130,9,135,57,1
8453966,5773130,9,135,57,1
9313146,5773130,1,15,61,0
2631713,6158243,3,45,76,0
2703927,6158243,7,105,121,0
3416377,6158243,7,105,57,1
3442884,6158243,7,105,57,1
6999101,6158243,7,105,57,1
9549754,6158243,5,75,101,0
584906,6172152,8,820,141,0
1882367,6172152,8,820,57,1
4594722,6172152,8,820,56,0
5952552,6172152,7,425,103,0
6104226,6172152,8,820,57,1
8620736,6172152,8,820,57,1
2014402,6879249,11,835,57,1
2615711,6879249,11,835,57,1
4954143,6879249,11,835,86,0
5000096,6879249,11,835,57,1
6181294,6879249,11,835,73,0
6627772,6879249,11,835,72,0
2917770,6883983,8,120,96,0
4089889,6883983,9,135,57,1
4352460,6883983,9,135,57,1
6066930,6883983,9,135,34,0
8296010,6883983,9,135,100,0
9852546,6883983,9,135,57,1
3989844,6995768,12,550,88,0
4120555,6995768,12,550,57,1
4225514,6995768,12,550,75,0
4645407,6995768,12,550,84,0
6926601,6995768,12,550,57,1
8094525,6995768,12,550,57,1
492259,7387699,9,135,156,0
4774888,7387699,9,135,72,0
5425090,7387699,0,0,50,0
6233052,7387699,9,135,57,1
7066498,7387699,9,135,57,1
9435517,7387699,9,135,57,1
2592613,7481160,9,135,101,0
3603677,7481160,9,135,150,0
3715206,7481160,9,135,57,1
4366470,7481160,9,135,57,1
5589471,7481160,3,45,110,0
9050480,7481160,9,135,57,1
6082568,7566572,8,120,57,1
7189745,7566572,8,120,57,1
7806723,7566572,5,75,98,0
8422196,7566572,5,75,74,0
9087218,7566572,8,120,57,1
2744694,8451942,9,135,57,1
5522415,8451942,9,135,133,0
6300805,8451942,6,90,125,0
7935181,8451942,3,45,68,0
9404211,8451942,9,135,57,1
9754814,8451942,9,135,57,1
147748,8588424,10,150,83,0
641016,8588424,3,45,46,0
1405360,8588424,3,45,98,0
1583865,8588424,9,135,56,1
7005223,8588424,9,135,56,1
9812837,8588424,9,135,56,1
1881198,8807049,9,135,93,0
2077721,8807049,9,135,57,1
2132233,8807049,9,135,57,1
3186503,8807049,9,135,114,0
6766666,8807049,9,135,57,1
8082291,8807049,9,135,132,0
1076591,9065399,1,15,67,0
1282092,9065399,10,150,57,1
5672173,9065399,3,45,108,0
7126896,9065399,10,150,127,0
7848937,9065399,10,150,57,1
8172223,9065399,10,150,57,1
4846993,9488709,4,60,82,0
5449692,9488709,8,120,57,1
6209551,9488709,8,120,57,1
7350016,9488709,8,120,64,0
8192191,9488709,8,120,57,1
9292578,9488709,4,60,131,0
669313,9516134,9,135,57,1
836854,9516134,9,135,57,1
5599594,9516134,9,135,112,0
5857449,9516134,9,135,97,0
7959221,9516134,1,15,102,0
8616599,9516134,9,135,57,1
661437,9651172,8,120,57,1
3778870,9651172,8,120,104,0
4130108,9651172,4,60,80,0
5823025,9651172,8,120,57,1
7498648,9651172,8,120,81,0
7840108,9651172,8,120,57,1
