Time,GroupID,ItemsFound,Score,TotalTrials,isRobot
17:29:04,34910,4,60,95,0
17:29:04,34910,10,150,111,0
17:29:04,34910,10,150,45,0
17:29:04,34910,10,150,66,0
17:29:04,34910,10,150,146,0
17:29:04,34910,5,75,90,0
17:07:20,51862,5,75,100,0
17:07:20,51862,0,0,49,0
17:07:20,51862,7,105,61,0
17:07:20,51862,3,45,11,0
17:07:20,51862,9,135,57,0
17:07:20,51862,3,45,28,0
20:22:34,137099,0,0,65,0
20:22:34,137099,0,0,4,0
20:22:34,137099,10,300,90,0
20:22:34,137099,6,90,92,0
20:22:34,137099,10,300,59,0
20:22:34,137099,10,300,62,0
20:07:04,240187,0,0,52,0
20:07:04,240187,9,135,142,0
20:07:04,240187,6,90,128,0
20:07:04,240187,0,0,53,0
20:07:04,240187,3,45,68,0
20:07:04,240187,1,15,62,0
17:35:09,240556,5,75,85,0
17:35:09,240556,8,120,89,0
17:35:09,240556,1,15,38,0
17:35:09,240556,3,45,78,0
17:35:09,240556,9,135,81,0
17:35:09,240556,9,135,63,0
19:58:46,353890,9,455,80,0
19:58:46,353890,14,2750,40,0
19:58:46,353890,14,2750,84,0
19:58:46,353890,14,2750,94,0
19:58:46,353890,14,2750,91,0
19:58:46,353890,14,2750,88,0
20:32:53,452750,1,15,78,0
20:32:53,452750,6,90,80,0
20:32:53,452750,3,45,74,0
20:32:53,452750,6,90,91,0
20:32:53,452750,0,0,23,0
20:32:53,452750,0,0,8,0
12:33:12,549161,9,135,75,0
12:33:12,549161,4,60,48,0
12:33:12,549161,5,75,159,0
12:33:12,549161,9,135,121,0
12:33:12,549161,0,0,0,0
12:33:12,549161,9,135,134,0
14:11:04,579061,3,45,42,0
14:11:04,579061,2,30,40,0
14:11:04,579061,6,90,57,0
14:11:04,579061,3,45,85,0
14:11:04,579061,3,45,51,0
14:11:04,579061,0,0,18,0
20:26:20,579312,9,135,135,0
20:26:20,579312,4,60,41,0
20:26:20,579312,0,0,45,0
20:26:20,579312,5,75,59,0
20:26:20,579312,3,45,78,0
20:26:20,579312,9,135,87,0
15:09:57,653704,5,75,81,0
15:09:57,653704,3,45,70,0
15:09:57,653704,5,75,96,0
15:09:57,653704,5,75,36,0
15:09:57,653704,0,0,65,0
15:09:57,653704,5,75,71,0
17:18:29,708033,4,60,60,0
17:18:29,708033,6,90,109,0
17:18:29,708033,2,30,27,0
17:18:29,708033,0,0,6,0
17:18:29,708033,6,90,73,0
17:18:29,708033,3,45,55,0
17:31:26,792586,1,15,71,0
17:31:26,792586,9,135,71,0
17:31:26,792586,9,135,115,0
17:31:26,792586,9,135,69,0
17:31:26,792586,9,135,112,0
17:31:26,792586,4,60,103,0
12:40:42,871656,9,135,57,0
12:40:42,871656,1,15,116,0
12:40:42,871656,9,135,114,0
12:40:42,871656,9,135,104,0
12:40:42,871656,9,135,104,0
12:40:42,871656,4,60,97,0
14:37:11,954495,9,135,46,0
14:37:11,954495,3,45,41,0
14:37:11,954495,3,45,56,0
14:37:11,954495,0,0,0,0
14:37:11,954495,9,135,102,0
14:37:11,954495,9,135,140,0
17:24:36,1014818,2,30,92,0
17:24:36,1014818,7,105,98,0
17:24:36,1014818,7,105,63,0
17:24:36,1014818,7,105,58,0
17:24:36,1014818,1,15,76,0
17:24:36,1014818,7,105,142,0
14:23:03,1221365,11,215,112,0
14:23:03,1221365,12,550,104,0
14:23:03,1221365,3,45,44,0
14:23:03,1221365,11,535,103,0
14:23:03,1221365,8,120,38,0
14:23:03,1221365,0,0,40,0
13:51:24,1230702,7,105,79,0
13:51:24,1230702,7,105,34,0
13:51:24,1230702,7,105,82,0
13:51:24,1230702,7,105,115,0
13:51:24,1230702,7,105,61,0
13:51:24,1230702,2,30,62,0
13:55:20,1256230,0,0,64,0
13:55:20,1256230,7,105,116,0
13:55:20,1256230,2,30,55,0
13:55:20,1256230,7,105,45,0
13:55:20,1256230,3,45,51,0
13:55:20,1256230,7,105,86,0
13:29:55,1291384,3,45,49,0
13:29:55,1291384,0,0,82,0
13:29:55,1291384,6,90,116,0
13:29:55,1291384,6,90,87,0
13:29:55,1291384,3,45,96,0
13:29:55,1291384,6,90,56,0
13:23:23,1477750,10,150,107,0
13:23:23,1477750,9,135,76,0
13:23:23,1477750,8,120,95,0
13:23:23,1477750,9,135,65,0
13:23:23,1477750,5,75,100,0
13:23:23,1477750,4,60,98,0
14:16:52,1567574,9,135,50,0
14:16:52,1567574,5,75,85,0
14:16:52,1567574,9,135,94,0
14:16:52,1567574,1,15,104,0
14:16:52,1567574,1,15,27,0
14:16:52,1567574,9,135,123,0
20:34:38,1785585,3,45,62,0
20:34:38,1785585,0,0,38,0
20:34:38,1785585,0,0,41,0
20:34:38,1785585,0,0,41,0
20:34:38,1785585,9,135,180,0
20:34:38,1785585,9,135,66,0
15:15:24,1884745,15,1615,112,0
15:15:24,1884745,15,1615,85,0
15:15:24,1884745,2,30,68,0
15:15:24,1884745,15,1615,70,0
15:15:24,1884745,13,1435,62,0
15:15:24,1884745,0,0,39,0
15:21:12,1947922,9,135,138,0
15:21:12,1947922,9,135,109,0
15:21:12,1947922,3,45,114,0
15:21:12,1947922,5,75,51,0
15:21:12,1947922,0,0,67,0
15:21:12,1947922,0,0,55,0
13:26:15,2210766,0,0,0,0
13:26:15,2210766,5,75,54,0
13:26:15,2210766,4,60,89,0
13:26:15,2210766,6,90,41,0
13:26:15,2210766,3,45,89,0
13:26:15,2210766,6,90,102,0
20:07:54,2412548,4,60,57,0
20:07:54,2412548,3,45,21,0
20:07:54,2412548,6,90,65,0
20:07:54,2412548,3,45,43,0
20:07:54,2412548,6,90,98,0
20:07:54,2412548,3,45,64,0
15:12:58,2566423,8,440,17,0
15:12:58,2566423,6,90,91,0
15:12:58,2566423,9,605,115,0
15:12:58,2566423,1,15,18,0
15:12:58,2566423,0,0,72,0
15:12:58,2566423,9,505,84,0
17:39:28,2881806,9,135,83,0
17:39:28,2881806,0,0,69,0
17:39:28,2881806,9,135,133,0
17:39:28,2881806,9,135,90,0
17:39:28,2881806,9,135,64,0
17:39:28,2881806,9,135,64,0
13:35:47,3076778,11,835,111,0
13:35:47,3076778,11,835,131,0
13:35:47,3076778,8,170,56,0
13:35:47,3076778,11,835,38,0
13:35:47,3076778,0,0,24,0
13:35:47,3076778,11,835,110,0
14:08:02,3239023,3,45,62,0
14:08:02,3239023,3,45,68,0
14:08:02,3239023,0,0,71,0
14:08:02,3239023,3,45,59,0
14:08:02,3239023,3,45,60,0
14:08:02,3239023,3,45,31,0
14:14:37,3393498,4,60,116,0
14:14:37,3393498,0,0,0,0
14:14:37,3393498,7,105,143,0
14:14:37,3393498,1,15,50,0
14:14:37,3393498,1,15,83,0
14:14:37,3393498,7,105,41,0
17:11:20,3423095,8,120,81,0
17:11:20,3423095,5,75,38,0
17:11:20,3423095,8,120,125,0
17:11:20,3423095,4,60,103,0
17:11:20,3423095,3,45,79,0
17:11:20,3423095,1,15,115,0
15:24:30,3426034,3,45,55,0
15:24:30,3426034,9,135,60,0
15:24:30,3426034,9,135,65,0
15:24:30,3426034,9,135,94,0
15:24:30,3426034,6,90,75,0
15:24:30,3426034,0,0,69,0
20:30:34,3762037,6,90,130,0
20:30:34,3762037,0,0,0,0
20:30:34,3762037,3,45,50,0
20:30:34,3762037,0,0,6,0
20:30:34,3762037,3,45,80,0
20:30:34,3762037,3,45,48,0
17:13:44,3816504,1,15,46,0
17:13:44,3816504,7,105,84,0
17:13:44,3816504,6,90,82,0
17:13:44,3816504,10,150,80,0
17:13:44,3816504,10,150,85,0
17:13:44,3816504,10,150,119,0
13:22:02,3952954,8,120,110,0
13:22:02,3952954,0,0,0,0
13:22:02,3952954,8,120,83,0
13:22:02,3952954,3,45,62,0
13:22:02,3952954,5,75,116,0
13:22:02,3952954,5,75,45,0
12:43:16,4034723,3,45,81,0
12:43:16,4034723,9,135,72,0
12:43:16,4034723,9,135,93,0
12:43:16,4034723,3,45,36,0
12:43:16,4034723,1,15,34,0
12:43:16,4034723,9,135,94,0
13:20:31,4355845,9,135,110,0
13:20:31,4355845,9,135,72,0
13:20:31,4355845,3,45,42,0
13:20:31,4355845,9,135,84,0
13:20:31,4355845,9,135,138,0
13:20:31,4355845,9,135,70,0
12:36:05,4459811,9,135,42,0
12:36:05,4459811,9,135,71,0
12:36:05,4459811,9,135,119,0
12:36:05,4459811,9,135,129,0
12:36:05,4459811,3,45,17,0
12:36:05,4459811,4,60,65,0
14:30:32,4548258,0,0,73,0
14:30:32,4548258,8,120,63,0
