Time,GroupID,ItemsFound,Score,TotalTrials,isRobot
14:23:28,NaN,7,105,150,0
15:19:22,NaN,9,135,76,0
19:00:36,NaN,14,2430,112,0
17:30:46,NaN,7,105,114,0
13:28:02,NaN,1,15,51,0
18:46:08,NaN,7,105,86,0
18:36:43,NaN,2,30,69,0
14:24:44,NaN,8,120,66,0
13:22:52,NaN,8,120,123,0
16:02:28,NaN,5,75,58,0
18:20:25,NaN,4,60,63,0
15:08:18,NaN,9,135,115,0
13:11:01,NaN,8,120,123,0
17:48:25,NaN,1,15,29,0
18:23:32,NaN,4,60,77,0
17:13:43,NaN,6,90,93,0
14:24:11,NaN,5,75,120,0
18:30:33,NaN,4,60,128,0
19:07:01,NaN,4,60,32,0
15:14:40,NaN,5,75,67,0
12:11:06,NaN,4,60,19,0
14:15:44,NaN,14,2430,132,0
13:15:48,NaN,23,3245,106,0
13:23:46,NaN,5,75,72,0
19:00:11,NaN,3,45,109,0
17:12:08,NaN,8,120,81,0
12:12:21,NaN,13,2415,60,0
16:16:20,NaN,9,135,95,0
12:17:57,NaN,1,15,84,0
14:25:05,NaN,3,45,98,0
13:22:23,NaN,13,2415,94,0
17:33:49,NaN,3,45,44,0
17:21:05,NaN,5,75,40,0
13:43:45,NaN,13,565,115,0
17:11:10,NaN,8,120,92,0
18:52:12,NaN,9,485,80,0
16:59:53,NaN,7,105,91,0
13:42:54,NaN,0,0,0,0
14:16:10,NaN,14,2430,74,0
17:46:00,NaN,5,75,87,0
17:03:26,NaN,9,505,69,0
13:30:27,NaN,10,520,77,0
11:13:59,NaN,4,60,78,0
13:13:17,NaN,8,490,56,0
11:12:18,NaN,11,1015,112,0
15:13:57,NaN,9,135,81,0
13:39:48,NaN,4,60,87,0
18:53:47,NaN,14,1770,65,0
18:20:34,NaN,9,1345,88,0
18:47:06,NaN,0,0,64,0
18:57:17,NaN,8,120,63,0
15:13:25,NaN,4,60,51,0
13:46:39,NaN,1,15,56,0
13:22:54,NaN,1,15,45,0
18:53:13,NaN,13,2415,100,0
18:46:27,NaN,1,15,64,0
13:27:26,NaN,0,0,45,0
15:14:09,NaN,9,505,131,0
13:08:34,NaN,11,1425,61,0
17:50:02,NaN,2,30,53,0
15:18:27,NaN,0,0,46,0
15:19:18,NaN,16,2410,78,0
17:32:52,NaN,4,60,49,0
14:18:56,NaN,8,820,51,0
15:14:47,NaN,1,15,55,0
17:14:00,NaN,5,75,48,0
17:19:07,NaN,4,60,75,0
16:55:16,NaN,8,120,90,0
18:05:39,NaN,4,60,38,0
13:21:55,NaN,6,90,48,0
18:42:57,NaN,9,135,89,0
11:22:10,NaN,1,15,41,0
14:15:58,NaN,8,120,108,0
14:17:15,NaN,14,2430,91,0
13:44:13,NaN,0,0,65,0
17:44:30,NaN,1,15,62,0
