ParticipantID,GroupID,ItemsFound,Score,TotalTrials,isRobot
3065422,356215,5,75,57,1
3524881,356215,5,75,57,1
3538356,356215,0,0,0,0
5729366,356215,0,0,0,0
5781983,356215,0,0,0,0
9113017,356215,5,75,57,1
623693,689385,7,105,57,1
6128878,689385,-6,0,0,0
7861314,689385,7,105,57,1
8959212,689385,7,105,57,1
9711158,689385,0,0,0,0
9747871,689385,0,0,0,0
854973,1589453,0,0,0,0
1868753,1589453,8,120,57,1
5477041,1589453,8,120,57,1
6643884,1589453,1,15,1,0
7065340,1589453,1,15,1,0
8859071,1589453,8,120,57,1
104354,1744952,0,0,0,0
1531813,1744952,5,75,57,1
3508413,1744952,0,0,0,0
5976856,1744952,5,75,57,1
8266382,1744952,0,0,0,0
8289612,1744952,5,75,57,1
1909921,1745051,0,0,0,0
4155314,1745051,5,75,57,1
4941670,1745051,0,0,0,0
4981015,1745051,5,75,57,1
5532203,1745051,5,75,57,1
7173964,1745051,0,0,0,0
2122475,2444142,21,3125,57,1
2166185,2444142,21,3125,57,1
2478947,2444142,23,4775,33,0
5603267,2444142,1,15,1,0
6072769,2444142,21,3125,57,1
7243231,2444142,0,0,0,0
2485098,2904411,0,0,0,0
3538868,2904411,7,105,57,1
3603225,2904411,7,105,57,1
5684548,2904411,0,0,0,0
5942648,2904411,0,0,0,0
6239144,2904411,7,105,57,1
1055504,4142085,7,105,57,1
6750412,4142085,1,15,1,0
6959146,4142085,0,0,0,0
7282460,4142085,7,105,57,1
8610866,4142085,0,0,0,0
9260006,4142085,7,105,57,1
1744477,4428099,6,90,57,1
2504625,4428099,6,90,57,1
2979304,4428099,6,90,57,1
4607221,4428099,0,0,0,0
8003366,4428099,0,0,0,0
9246033,4428099,0,0,0,0
1038805,5608583,7,105,63,1
1907820,5608583,0,0,0,0
5106673,5608583,7,105,63,1
9436362,5608583,7,105,63,1
727685,5905389,6,90,57,1
3866961,5905389,6,90,57,1
3984989,5905389,0,0,0,0
4247666,5905389,3,45,4,0
4325528,5905389,6,90,57,1
8369346,5905389,4,60,5,0
983104,5956688,5,75,6,0
5531920,5956688,0,0,0,0
6746458,5956688,8,120,57,1
6849064,5956688,8,120,57,1
7653416,5956688,4,60,4,0
7921570,5956688,8,120,57,1
1321769,6014485,6,90,57,1
2951396,6014485,6,90,57,1
3033481,6014485,6,90,57,1
6678118,6014485,0,0,0,0
8119154,6014485,-6,0,0,0
3186279,6329843,7,105,56,1
5114463,6329843,0,0,0,0
6684791,6329843,0,0,0,0
6797434,6329843,0,0,0,0
7165916,6329843,7,105,56,1
7490438,6329843,7,105,56,1
471643,7478585,5,75,57,1
1645112,7478585,5,75,57,1
4687190,7478585,0,0,0,0
5125768,7478585,0,0,0,0
7011941,7478585,0,0,0,0
9661968,7478585,5,75,57,1
1165678,7497787,6,90,57,1
5182710,7497787,0,0,0,0
6319758,7497787,3,45,3,0
7337993,7497787,6,90,57,1
9185514,7497787,0,0,0,0
9559743,7497787,6,90,57,1
874544,9902521,10,2020,57,1
1930326,9902521,10,2020,57,1
2119087,9902521,10,2020,17,0
4257202,9902521,10,2020,12,0
5775442,9902521,10,2020,16,0
5974382,9902521,10,2020,57,1
