Time;GroupID;ItemsFound;Score;TotalTrials;isRobot
14:32:12;63059;3;45;56;0
14:32:12;63059;3;45;51;0
14:32:12;63059;9;135;89;0
14:32:12;63059;9;135;51;0
14:32:12;63059;4;60;64;0
14:32:12;63059;8;120;70;0
15:07:01;196383;10;620;73;0
15:07:01;196383;11;1015;56;0
15:07:01;196383;10;620;93;0
15:07:01;196383;9;505;70;0
15:07:01;196383;10;520;54;0
15:07:01;196383;3;45;69;0
12:31:25;307465;0;0;21;0
12:31:25;307465;8;120;76;0
12:31:25;307465;2;30;52;0
12:31:25;307465;8;120;89;0
12:31:25;307465;3;45;35;0
12:31:25;307465;3;45;27;0
19:53:08;333968;14;2430;88;0
19:53:08;333968;14;2430;98;0
19:53:08;333968;0;0;9;0
19:53:08;333968;14;2430;50;0
19:53:08;333968;14;2430;102;0
19:53:08;333968;14;2430;68;0
14:47:53;615751;1;15;31;0
14:47:53;615751;9;135;67;0
14:47:53;615751;7;105;75;0
14:47:53;615751;9;135;101;0
14:47:53;615751;0;0;50;0
14:47:53;615751;9;135;74;0
14:42:51;757294;14;2430;47;0
14:42:51;757294;10;2020;41;0
14:42:51;757294;14;2430;41;0
14:42:51;757294;14;2430;71;0
14:42:51;757294;3;45;34;0
14:42:51;757294;10;2020;57;0
14:37:28;791444;8;120;63;0
14:37:28;791444;4;60;93;0
14:37:28;791444;7;105;78;0
14:37:28;791444;8;120;71;0
14:37:28;791444;4;60;60;0
14:37:28;791444;0;0;0;0
13:12:25;796224;4;60;58;0
13:12:25;796224;0;0;0;0
13:12:25;796224;15;2445;40;0
13:12:25;796224;12;1030;83;0
13:12:25;796224;12;1740;55;0
13:12:25;796224;4;60;54;0
14:53:26;974805;9;135;55;0
14:53:26;974805;3;45;23;0
14:53:26;974805;5;75;102;0
14:53:26;974805;3;45;40;0
14:53:26;974805;0;0;24;0
14:53:26;974805;9;135;75;0
15:01:49;1046120;14;2430;51;0
15:01:49;1046120;0;0;0;0
15:01:49;1046120;14;2430;85;0
15:01:49;1046120;14;2430;35;0
15:01:49;1046120;5;75;96;0
15:01:49;1046120;3;45;66;0
13:14:40;1057811;3;45;73;0
13:14:40;1057811;8;120;51;0
13:14:40;1057811;1;15;0;0
13:14:40;1057811;5;75;58;0
13:14:40;1057811;3;45;96;0
13:14:40;1057811;8;120;32;0
13:09:52;1145689;4;60;32;0
13:09:52;1145689;12;2100;47;0
13:09:52;1145689;14;2130;55;0
13:09:52;1145689;30;8760;93;0
13:09:52;1145689;28;7820;65;0
13:09:52;1145689;27;7575;89;0
15:15:58;1242750;7;105;91;0
15:15:58;1242750;0;0;0;0
15:15:58;1242750;7;105;62;0
15:15:58;1242750;3;45;67;0
15:15:58;1242750;7;105;72;0
15:15:58;1242750;7;105;52;0
13:16:20;1270094;3;45;111;0
13:16:20;1270094;7;105;97;0
13:16:20;1270094;6;90;80;0
13:16:20;1270094;8;490;112;0
13:16:20;1270094;5;75;45;0
13:16:20;1270094;9;135;79;0
12:58:45;2081912;7;105;61;0
12:58:45;2081912;15;2445;95;0
12:58:45;2081912;15;2445;64;0
12:58:45;2081912;10;470;99;0
12:58:45;2081912;4;60;121;0
