ParticipantID,GroupID,ItemsFound,Score,TotalTrials,isRobot
2525056,170595,7,105,57,1
3593541,170595,7,105,96,0
1564657,425392,5,75,82,0
7177996,425392,9,135,57,1
8763782,425392,5,75,85,0
9854530,425392,9,135,95,0
3620619,525854,0,0,51,0
4346331,525854,0,0,43,0
6744430,525854,3,45,58,0
7042000,525854,9,135,57,1
8422908,525854,9,135,98,0
9671516,525854,9,135,92,0
905667,1121939,5,75,57,1
8859836,1121939,3,45,43,0
4312355,1226258,7,105,122,0
6854133,1226258,9,135,57,1
7193983,1226258,9,135,131,0
9237956,1226258,4,60,104,0
3695157,1641050,5,75,51,0
4196158,1641050,4,60,39,0
4229225,1641050,3,45,34,0
4850585,1641050,6,90,57,1
7725791,1641050,3,45,35,0
8085417,1641050,1,15,1,0
2544739,1651140,4,60,93,0
4088509,1651140,4,60,44,0
6420138,1651140,2,30,96,0
7150603,1651140,1,15,27,0
8164874,1651140,4,60,57,1
9459889,1651140,4,60,124,0
2882507,1903520,9,135,46,0
7483167,1903520,0,0,48,0
9083338,1903520,2,30,43,0
9147239,1903520,5,75,111,0
9807497,1903520,9,135,57,1
9825606,1903520,9,135,153,0
103855,3482675,0,0,55,0
2661654,3482675,15,3815,101,0
3506098,3482675,15,3815,100,0
5473001,3482675,15,3815,137,0
9269287,3482675,15,3815,57,1
9962563,3482675,6,90,61,0
1807851,4718293,9,135,105,0
2096226,4718293,0,0,72,0
4547238,4718293,9,135,57,1
4565000,4718293,9,135,89,0
5758119,4718293,9,135,131,0
9859562,4718293,9,135,65,0
245695,5999763,9,135,53,0
628129,5999763,9,135,111,0
3181115,5999763,9,135,57,1
3725970,5999763,9,135,115,0
4753803,5999763,9,135,86,0
9353197,5999763,1,15,42,0
1100770,6410875,5,75,146,0
4243419,6410875,4,60,52,0
5566106,6410875,8,120,136,0
5614489,6410875,9,135,57,1
6961396,6410875,9,135,107,0
9245275,6410875,5,75,110,0
4164971,7238117,3,45,38,0
4527746,7238117,9,135,76,0
5063549,7238117,8,120,177,0
5659352,7238117,9,135,165,0
6635875,7238117,2,30,29,0
9304482,7238117,9,135,57,1
3732742,8073910,1,15,36,0
5315755,8073910,3,45,73,0
5604298,8073910,3,45,69,0
6641539,8073910,6,90,57,1
9374415,8073910,5,75,103,0
786399,8081892,7,105,57,1
1004316,8081892,2,30,25,0
1167676,8081892,7,105,93,0
1793917,8081892,7,105,143,0
4047315,8081892,7,105,100,0
6033696,8081892,4,60,69,0
338006,8313421,6,90,158,0
2247977,8313421,9,135,115,0
7033622,8313421,9,135,49,0
7297919,8313421,9,135,98,0
8390955,8313421,9,135,105,0
9811965,8313421,9,135,57,1
470332,8568016,3,45,85,0
1138635,8568016,7,105,57,1
3116322,8568016,1,15,57,0
5548032,8568016,1,15,35,0
8563338,8568016,1,15,58,0
9251000,8568016,7,105,87,0
1751595,8831908,10,150,140,0
1791371,8831908,0,0,0,0
4365014,8831908,10,150,57,1
4760866,8831908,3,45,47,0
4997011,8831908,10,150,112,0
6080952,8831908,10,150,148,0
2446553,8901244,13,1335,57,1
4350488,8901244,12,880,113,0
6147211,8901244,13,1335,114,0
7991091,8901244,7,425,92,0
8126305,8901244,13,1335,94,0
8342428,8901244,13,1335,41,0
7169167,9147423,3,45,127,0
7649866,9147423,0,0,52,0
9634457,9147423,4,60,57,1
5128630,9769649,5,75,78,0
5663496,9769649,0,0,46,0
7124721,9769649,5,75,57,1
7625359,9769649,0,0,53,0
7737814,9769649,5,75,75,0
9848812,9769649,5,75,120,0
