ParticipantID,GroupID,ItemsFound,Score,TotalTrials,isRobot
1011387,204823,7,105,57,1
1759851,204823,7,105,74,0
2728036,204823,7,105,57,1
2901530,204823,7,105,110,0
6343964,204823,7,105,57,1
9841911,204823,1,15,60,0
211932,208428,6,90,57,1
1831551,208428,6,90,57,1
3846066,208428,6,90,57,1
7119880,208428,5,75,14,0
7953324,208428,0,0,22,0
9484210,208428,5,75,59,0
82543,434515,3,45,58,0
2036790,434515,9,135,57,1
2731308,434515,9,135,57,1
3128727,434515,9,135,57,1
4058726,434515,9,135,72,0
9903283,434515,9,135,65,0
4774101,923718,14,2430,56,1
5192280,923718,5,75,54,0
5840717,923718,14,2430,95,0
7280005,923718,14,2430,56,1
7283275,923718,14,2430,56,1
7390774,923718,14,2430,104,0
17696,1076462,9,135,57,1
168946,1076462,5,75,42,0
2625673,1076462,5,75,125,0
4704767,1076462,9,135,45,0
6577791,1076462,9,135,57,1
9543195,1076462,9,135,57,1
420995,1563677,10,150,57,1
1285211,1563677,10,150,57,1
1295653,1563677,10,150,84,0
4508747,1563677,10,150,57,1
6752443,1563677,10,150,81,0
8328216,1563677,10,150,127,0
525460,2779212,0,0,56,0
2626037,2779212,12,550,86,0
3194855,2779212,12,550,57,1
7826628,2779212,12,550,57,1
8602207,2779212,12,550,57,1
8932867,2779212,12,550,66,0
1827490,3485059,13,565,77,0
3893925,3485059,14,580,64,0
4152514,3485059,15,975,56,1
4635718,3485059,15,975,113,0
7047000,3485059,15,975,56,1
8874333,3485059,15,975,56,1
3429020,3836589,8,170,57,1
4016391,3836589,8,170,57,1
7248375,3836589,3,45,56,0
7984334,3836589,2,30,81,0
8014775,3836589,8,170,57,1
748336,3850218,9,135,57,1
2668207,3850218,1,15,64,0
2965154,3850218,9,135,68,0
4913025,3850218,8,120,89,0
4956371,3850218,9,135,57,1
8701526,3850218,9,135,57,1
2444909,3928484,7,105,57,1
3609673,3928484,7,105,57,0
8112350,3928484,7,105,124,0
8483298,3928484,7,105,57,1
8515790,3928484,7,105,57,1
8765718,3928484,0,0,34,0
4000954,4509116,16,1600,57,1
5292564,4509116,16,1600,57,1
5327493,4509116,16,1600,57,1
8828702,4509116,16,2260,85,0
9929748,4509116,3,45,21,0
9935562,4509116,12,1030,162,0
1429360,4717387,19,3665,108,0
2563010,4717387,19,3665,57,1
3728547,4717387,7,425,53,0
4320393,4717387,19,3665,57,1
7513666,4717387,6,90,67,0
9812522,4717387,19,3665,57,1
1945654,4930599,8,120,57,1
4023915,4930599,8,120,57,1
5788933,4930599,3,45,46,0
7416126,4930599,3,45,71,0
8283740,4930599,8,120,98,0
8964301,4930599,8,120,57,1
1171798,5211181,3,45,57,0
3038181,5211181,15,895,57,1
3725491,5211181,15,895,57,1
4053837,5211181,11,835,76,0
5621772,5211181,13,565,62,0
7762264,5211181,15,895,57,1
990623,5338581,9,135,57,1
2312926,5338581,9,135,57,1
2631985,5338581,9,135,57,1
6050388,5338581,6,90,50,0
8078409,5338581,8,120,81,0
9257939,5338581,2,30,25,0
454985,6201787,7,105,57,1
1704989,6201787,7,105,76,0
8123585,6201787,7,105,57,1
8831310,6201787,7,105,57,1
6291,6327491,1,15,82,0
1797077,6327491,9,135,57,1
8689986,6327491,9,135,57,1
9585180,6327491,9,135,57,1
218019,6634212,10,150,56,1
1264690,6634212,10,150,56,1
2632065,6634212,8,120,95,0
3073021,6634212,10,150,73,0
4863000,6634212,10,150,83,0
5157325,6634212,10,150,56,1
2820544,7261897,1,15,24,0
4209606,7261897,9,135,56,1
5881628,7261897,3,45,41,0
6049467,7261897,9,135,159,0
9368255,7261897,9,135,56,1
9975955,7261897,9,135,56,1
2329443,7898912,3,45,52,0
6515756,7898912,6,90,57,1
7409918,7898912,6,90,57,1
8346464,7898912,6,90,57,1
97533,8574681,-6,0,0,0
2773880,8574681,7,105,57,1
3364185,8574681,4,60,49,0
4148129,8574681,7,105,57,1
8453228,8574681,4,60,103,0
8637386,8574681,7,105,57,1
1568751,9074447,10,150,89,0
1713608,9074447,10,150,57,1
2518841,9074447,10,150,57,1
4462092,9074447,3,45,49,0
6767077,9074447,10,150,81,0
7684290,9074447,10,150,57,1
1706395,9515484,-6,0,0,0
2674438,9515484,7,105,57,1
3137915,9515484,5,75,102,0
7851629,9515484,7,105,57,1
8977771,9515484,7,105,57,1
9780631,9515484,0,0,0,0
