selfPID,score,total_items_found,items_copied
103855,0,0,0
245695,135,9,6
338006,90,6,0
459309,75,5,0
470332,45,3,0
628129,135,9,0
1004316,30,2,0
1085421,15,1,0
1100770,75,5,0
1167676,105,7,2
1392209,60,4,0
1751595,150,10,6
1793917,105,7,0
1807851,135,9,0
2096226,0,0,0
2247977,135,9,3
2544739,60,4,1
2661654,3815,15,7
2882507,135,9,8
3116322,15,1,0
3506098,3815,15,11
3594140,45,3,0
3620619,0,0,0
3695157,75,5,0
3725970,135,9,6
3788244,45,3,0
3945148,15,1,0
3951581,2020,10,8
4047315,105,7,2
4088509,60,4,4
4164971,45,3,0
4196158,60,4,0
4229225,45,3,0
4243419,60,4,2
4285830,90,6,1
4346331,0,0,0
4350488,880,12,9
4527746,135,9,7
4535097,90,6,2
4565000,135,9,4
4626986,120,8,5
4722424,75,5,0
4753803,135,9,6
4760866,45,3,0
4997011,150,10,7
5063549,120,8,0
5128630,75,5,1
5355090,0,0,0
5383722,0,0,0
5473001,3815,15,6
5548032,15,1,0
5566106,120,8,0
5569704,135,9,4
5659352,135,9,2
5663496,0,0,0
5758119,135,9,2
6033696,60,4,0
6080952,150,10,0
6147211,1335,13,5
6316441,105,7,1
6420138,30,2,0
6635875,30,2,0
6744430,45,3,0
6961396,135,9,4
6980494,135,9,4
7033622,135,9,6
7081885,2020,10,9
7124052,105,7,0
7150603,15,1,0
7297919,135,9,5
7483167,0,0,0
7625359,0,0,0
7725791,45,3,0
7737814,75,5,2
7797038,75,5,1
7820468,45,3,0
7822177,45,3,0
7991091,425,7,0
8072028,15,1,0
8085417,15,1,0
8126305,1335,13,12
8315563,15,1,0
8342428,1335,13,8
8390955,135,9,5
8422908,135,9,5
8460443,45,3,0
8563338,15,1,1
8568642,105,7,3
8592100,2020,10,1
8850007,15,1,0
8972798,45,3,0
9083338,30,2,0
9147239,75,5,0
9162677,15,1,0
9245275,75,5,0
9251000,105,7,2
9353197,15,1,0
9459889,60,4,0
9671516,135,9,1
9825606,135,9,3
9848812,75,5,2
9859562,135,9,6
9934806,60,4,0
9962563,90,6,2
