selfPID,score,total_items_found,total_interactions,interactions_with_humans,interactions_with_bots
103855,0,0,24,24,0
245695,135,9,31,24,7
338006,90,6,22,16,6
459309,75,5,5,3,2
470332,45,3,14,10,4
628129,135,9,8,5,3
1004316,30,2,6,5,1
1085421,15,1,18,8,10
1100770,75,5,15,5,10
1167676,105,7,26,16,10
1392209,60,4,0,0,0
1751595,150,10,36,21,15
1793917,105,7,10,6,4
1807851,135,9,0,0,0
2096226,0,0,8,6,2
2247977,135,9,18,3,15
2544739,60,4,72,51,21
2661654,3815,15,22,13,9
2882507,135,9,22,18,4
3116322,15,1,37,22,15
3506098,3815,15,48,41,7
3594140,45,3,28,22,6
3620619,0,0,0,0,0
3695157,75,5,0,0,0
3725970,135,9,38,30,8
3788244,45,3,8,7,1
3945148,15,1,55,37,18
3951581,2020,10,54,23,31
4047315,105,7,13,8,5
4088509,60,4,33,24,9
4164971,45,3,2,1,1
4196158,60,4,20,15,5
4229225,45,3,0,0,0
4243419,60,4,9,9,0
4285830,90,6,25,10,15
4346331,0,0,1,1,0
4350488,880,12,34,30,4
4527746,135,9,35,14,21
4535097,90,6,24,12,12
4565000,135,9,20,18,2
4626986,120,8,33,27,6
4722424,75,5,29,21,8
4753803,135,9,49,34,15
4760866,45,3,0,0,0
4997011,150,10,50,37,13
5063549,120,8,16,8,8
5128630,75,5,8,5,3
5355090,0,0,2,2,0
5383722,0,0,0,0,0
5473001,3815,15,32,24,8
5548032,15,1,14,10,4
5566106,120,8,0,0,0
5569704,135,9,36,24,12
5659352,135,9,29,17,12
5663496,0,0,16,12,4
5758119,135,9,12,6,6
6033696,60,4,8,5,3
6080952,150,10,5,4,1
6147211,1335,13,30,23,7
6316441,105,7,14,10,4
6420138,30,2,19,17,2
6635875,30,2,11,8,3
6744430,45,3,6,5,1
6961396,135,9,46,30,16
6980494,135,9,25,18,7
7033622,135,9,29,20,9
7081885,2020,10,43,37,6
7124052,105,7,19,11,8
7150603,15,1,4,4,0
7297919,135,9,16,11,5
7483167,0,0,0,0,0
7625359,0,0,14,12,2
7725791,45,3,5,4,1
7737814,75,5,10,3,7
7797038,75,5,9,9,0
7820468,45,3,9,6,3
7822177,45,3,6,3,3
7991091,425,7,23,14,9
8072028,15,1,6,4,2
8085417,15,1,23,20,3
8126305,1335,13,61,57,4
8315563,15,1,0,0,0
8342428,1335,13,23,17,6
8390955,135,9,29,22,7
8422908,135,9,22,7,15
8460443,45,3,22,14,8
8563338,15,1,22,20,2
8568642,105,7,33,20,13
8592100,2020,10,12,7,5
8850007,15,1,25,15,10
8972798,45,3,4,2,2
9083338,30,2,6,6,0
9147239,75,5,19,12,7
9162677,15,1,27,24,3
9245275,75,5,14,11,3
9251000,105,7,25,11,14
9353197,15,1,28,27,1
9459889,60,4,21,19,2
9671516,135,9,10,5,5
9825606,135,9,14,4,10
9848812,75,5,28,16,12
9859562,135,9,39,19,20
9934806,60,4,15,5,10
9962563,90,6,78,68,10
