Time,GroupID,ItemsFound,Score,TotalTrials,isRobot
NaN,1,8,120,55,1
NaN,1,8,120,103,1
NaN,1,8,120,45,1
NaN,1,8,120,68,1
NaN,1,8,120,120,1
NaN,1,8,120,63,1
NaN,2,9,135,89,1
NaN,2,9,135,26,1
NaN,2,8,120,54,1
NaN,2,8,120,10,1
NaN,2,9,135,60,1
NaN,2,8,120,11,1
NaN,3,7,105,41,1
NaN,3,7,105,8,1
NaN,3,7,105,90,1
NaN,3,7,105,85,1
NaN,3,7,105,59,1
NaN,3,7,105,56,1
NaN,4,8,120,33,1
NaN,4,8,120,130,1
NaN,4,9,135,78,1
NaN,4,9,135,33,1
NaN,4,9,135,52,1
NaN,4,9,135,41,1
NaN,5,7,105,66,1
NaN,5,7,105,64,1
NaN,5,7,105,23,1
NaN,5,7,105,66,1
NaN,5,7,105,82,1
NaN,5,7,105,43,1
NaN,6,10,520,64,1
NaN,6,10,520,38,1
NaN,6,10,520,80,1
NaN,6,10,520,91,1
NaN,6,10,520,87,1
NaN,6,10,520,83,1
NaN,7,6,90,53,1
NaN,7,6,90,67,1
NaN,7,6,90,37,1
NaN,7,6,90,72,1
NaN,7,6,90,20,1
NaN,7,6,90,14,1
NaN,8,8,120,75,1
NaN,8,8,120,44,1
NaN,8,8,120,69,1
NaN,8,8,120,122,1
NaN,8,0,0,0,1
NaN,8,8,120,108,1
NaN,9,4,60,19,1
NaN,9,5,75,36,1
NaN,9,6,90,26,1
NaN,9,5,75,38,1
NaN,9,6,90,38,1
NaN,9,6,90,20,1
NaN,10,12,930,128,1
NaN,10,8,440,31,1
NaN,10,12,930,33,1
NaN,10,9,505,47,1
NaN,10,12,930,64,1
NaN,10,12,930,73,1
NaN,11,9,135,65,1
NaN,11,9,135,32,1
NaN,11,9,135,74,1
NaN,11,8,120,29,1
NaN,11,8,120,35,1
NaN,11,9,135,52,1
NaN,12,8,120,58,1
NaN,12,8,120,78,1
NaN,12,6,90,23,1
NaN,12,7,105,9,1
NaN,12,8,120,65,1
NaN,12,7,105,37,1
NaN,13,7,105,59,1
NaN,13,7,105,65,1
NaN,13,7,105,92,1
NaN,13,7,105,59,1
NaN,13,7,105,105,1
NaN,13,7,105,55,1
NaN,14,9,185,47,1
NaN,14,9,185,51,1
NaN,14,10,200,96,1
NaN,14,9,185,55,1
NaN,14,9,185,98,1
NaN,14,9,185,64,1
NaN,15,7,105,40,1
NaN,15,7,105,33,1
NaN,15,7,105,46,1
NaN,15,0,0,0,1
NaN,15,7,105,86,1
NaN,15,7,105,120,1
NaN,16,11,515,64,1
NaN,16,11,515,90,1
NaN,16,9,185,57,1
NaN,16,11,515,58,1
NaN,16,11,515,52,1
NaN,16,11,515,101,1
NaN,17,7,105,76,1
NaN,17,7,105,90,1
NaN,17,7,105,22,1
NaN,17,7,105,86,1
NaN,17,6,90,34,1
NaN,17,7,105,28,1
NaN,18,7,105,79,1
NaN,18,7,105,38,1
NaN,18,7,105,74,1
NaN,18,7,105,110,1
NaN,18,7,105,52,1
NaN,18,7,105,35,1
NaN,19,5,75,38,1
NaN,19,5,75,89,1
NaN,19,5,75,45,1
NaN,19,5,75,43,1
NaN,19,5,75,33,1
NaN,19,5,75,75,1
NaN,20,6,90,29,1
NaN,20,6,90,41,1
NaN,20,6,90,81,1
NaN,20,6,90,65,1
NaN,20,6,90,52,1
NaN,20,6,90,36,1
NaN,21,7,105,96,1
NaN,21,7,105,68,1
NaN,21,7,105,87,1
NaN,21,7,105,65,1
NaN,21,7,105,71,1
NaN,21,7,105,52,1
NaN,22,7,105,52,1
NaN,22,7,105,47,1
NaN,22,7,105,63,1
NaN,22,7,105,63,1
NaN,22,7,105,25,1
NaN,22,7,105,110,1
NaN,23,9,135,35,1
NaN,23,7,105,26,1
NaN,23,9,135,17,1
NaN,23,7,105,25,1
NaN,23,9,135,134,1
NaN,23,9,135,66,1
NaN,24,8,120,113,1
NaN,24,8,120,86,1
NaN,24,8,120,47,1
NaN,24,8,120,69,1
NaN,24,8,120,64,1
NaN,24,8,120,24,1
NaN,25,6,90,102,1
NaN,25,6,90,98,1
NaN,25,6,90,18,1
NaN,25,6,90,46,1
NaN,25,6,90,20,1
NaN,25,6,90,31,1
NaN,26,0,0,0,1
NaN,26,8,170,48,1
NaN,26,8,170,65,1
NaN,26,8,170,33,1
NaN,26,8,170,69,1
NaN,26,8,170,80,1
NaN,27,8,120,46,1
NaN,27,8,120,19,1
NaN,27,9,135,59,1
NaN,27,8,120,26,1
NaN,27,8,120,61,1
NaN,27,7,105,44,1
NaN,28,6,90,22,1
NaN,28,6,90,77,1
NaN,28,6,90,57,1
NaN,28,6,90,20,1
NaN,28,6,90,40,1
NaN,28,6,90,66,1
NaN,29,11,2085,66,1
NaN,29,8,820,28,1
NaN,29,11,2085,117,1
NaN,29,10,1410,58,1
NaN,29,11,2085,65,1
NaN,29,10,1410,59,1
NaN,30,9,135,97,1
NaN,30,9,135,117,1
